,g.id,g.gender,g.age,g.nas,g.province,g.city,g.education,g.occupation,o.indoor,o.outdoor,o.media,o.sports,o.free.offer,o.difficult.quit,o.harm.general,o.harm.water,o.har.fruit.taste,o.work.restriction,o.now.use,n.previous.use,n.why.combined,n.why.choices,n.friend.use,n.meet.friend,n.reaction.family,n.reaction.friend,n.public.indoor.use,n.public.indoor.use.days,n.public.outdoor.use,n.public.outdoor.use.days,n.offer.accept,c.age,c.reason.use.combined,c.reason.use.choices,c.use.quantity,c.morning.affinity,c.light.time,c.hours.affinity,c.which.difficult,c.affinity.sickness,c.where.first,c.how.first,c.enjoy.cigarette,c.restriction.bother,c.effect.increase.friends,c.increases.respect,c.suggest.family.friends,cq.willing.quit,cq.quit.commit,cq.reason.quit.combined,cq.reason.quit.choices,cq.quit.times,cq.quit.interval,cq.last.quit,cq.reason.unsuccessful.quit,cq.quit.methods,cq.quit.negative.combined,cq.quit.negative.choices,cq.ca.quit.again,cq.quit.supporter,h.age,h.main.reason.combined,h.main.reason.choices,h.use.quantity,h.morning.affinity,h.light.time,h.hours.affinity,h.spend.time,h.tobaco.class,h.which.difficult,h.affinity.sickness,h.where.first,h.how.first,h.enjoy.hooka,h.restriction.bother,h.effect.increase.friends,h.increases.respect,h.suggest.family.friends,hq.willing.quit,hq.quit.commit,hq.reason.quit.combined,hq.reason.quit.choices,hq.quit.times,hq.quit.interval,hq.last.quit,hq.reason.unsuccessful.quit,hq.quit.methods,hq.quit.negative.combined,hq.quit.negative.choices,hq.ca.quit.again,hq.quit.supporter,r.shortness,r.productive.cough,r.reduced.capacity,r.respiratory.doctor,r.respiratory.diagnosis,p.p,p.p.code,p.spam,p.date.start,p.date.finish,test.s,test.f,test.len,start.date,start.time,finish.date,finish.time
1,FFJN,F,43,141,فارس,شيراز,Bachelors,housewife,Yes sir,Yes sir,No,No,No,Yes sir,Yes sir,No idea,It is no different from traditional,Yes,I do not consume at all,No,NA,0,Yes sir,More than three days a week,Recommended to leave,Recommended to leave,No,NA,Yes sir,3 to 4 days ago,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,no never,I completely disagree,No,NA,I'm not a questioner,NA,NA,1400/02/29-00:31:56,1400/02/29-00:38:08,NA,NA,NA,1400/02/29,0:31:56,1400/02/29,0:38:08
2,qn1M,F,29,138,فارس,شيراز,Bachelors,housewife,Yes sir,Yes sir,No,No,No,Yes sir,Yes sir,No,It is no different from traditional,No,I do not consume at all,Yes,It is harmful to my health-Harmful to the health of others----,2,Yes sir,More than three days a week,I can not point out,I can not point out,Yes sir,1 to 2 days ago,Yes sir,1 to 2 days ago,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,no never,I agree to some extent,No,NA,I'm not a questioner,NA,NA,1400/02/28-23:33:45,1400/02/28-23:42:08,1400-02-28 23:33:45,1400-02-28 23:42:08,503,1400/02/28,23:33:45,1400/02/28,23:42:08
3,sFd9,F,26,138,فارس,شيراز,diplomas,housewife,No,No,No,No,No,Yes sir,Yes sir,No,It is no different from traditional,No,Hookah fan,Yes,----I do not have access-,1,Yes sir,Less than three days a week,I do not care,I do not care,Yes sir,A week ago,Yes sir,A week ago,I definitely accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,no never,I completely disagree,No,NA,I'm not a questioner,NA,Spam,1400/02/23-18:38:29,1400/02/23-18:41:35,1400-02-23 18:38:29,1400-02-23 18:41:35,186,1400/02/23,18:38:29,1400/02/23,18:41:35
4,PY9r,M,30,131,بوشهر,برازجان,pre-university,Free,Yes sir,Yes sir,No,No,Yes sir,Yes sir,Yes sir,No,It is no different from traditional,Yes,Professional cigarettes,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,Gain peace----------Mental-emotional problems-,2,11 to 20 yarns (about one envelope),10,5 minutes to half an hour,the night,Early morning,Yes,Other places,Out of curiosity,No idea,No,They have more friends,No,No,No,No,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,most of the time,Yes - a few days a month,I agree to some extent,Yes sir,I do not know,I'm not a questioner,NA,NA,1400/02/23-01:25:47,1400/02/23-01:32:35,1400-02-23 01:25:47,1400-02-23 01:32:35,408,1400/02/23,1:25:47,1400/02/23,1:32:35
5,BpQt,M,20,142,مازندران,چالوس,Bachelors,Free,No,No,No,No,No,Yes sir,Yes sir,No,"It hurts, but very little",Yes,I do not consume at all,No,NA,0,Yes sir,Less than three days a week,Recommended to leave,Recommended to leave,No,NA,No,NA,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,no never,I completely disagree,No,NA,I'm not a questioner,NA,NA,1400/02/23-01:08:38,1400/02/23-01:12:44,1400-02-23 01:08:38,1400-02-23 01:12:44,246,1400/02/23,1:08:38,1400/02/23,1:12:44
6,hfYp,M,23,142,قزوين,قزوين,Bachelors,I'm looking for a job,Yes sir,Yes sir,No,No,No,Yes sir,Yes sir,No,It is no different from traditional,No,I do not consume at all,No,NA,0,No,NA,Recommended to leave,Recommended to leave,Yes sir,5 to 6 days ago,No,NA,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,no never,I completely disagree,No,NA,I'm not a questioner,NA,NA,1400/02/22-21:31:19,1400/02/22-21:36:05,1400-02-22 21:31:19,1400-02-22 21:36:05,286,1400/02/22,21:31:19,1400/02/22,21:36:05
7,yPTO,F,23,142,تهران,تهران,Bachelors,Free,Yes sir,Yes sir,No,No,No,No,No,No,It is no different from traditional,Yes,I do not consume at all,No,NA,0,No,NA,Advice not to smoke in my presence,Advise not to be in my presence,No,NA,No,NA,I probably do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,no never,I completely disagree,No,NA,I'm not a questioner,NA,Spam,1400/02/22-19:55:46,1400/02/22-19:57:34,1400-02-22 19:55:46,1400-02-22 19:57:34,108,1400/02/22,19:55:46,1400/02/22,19:57:34
8,J4m1,F,23,142,تهران,تهران,Bachelors,Free,Yes sir,Yes sir,No,No,No,No,No idea,No,It is no different from traditional,Yes,I do not consume at all,No,NA,0,Yes sir,Less than three days a week,Advice not to smoke in my presence,Advise not to be in my presence,No,NA,No,NA,I probably do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,sometimes,Only when you have a cold or infection,I disagree,No,NA,I'm not a questioner,NA,NA,1400/02/22-19:51:35,1400/02/22-19:55:08,1400-02-22 19:51:35,1400-02-22 19:55:08,213,1400/02/22,19:51:35,1400/02/22,19:55:08
9,x8ll,F,25,140,البرز,كرج,diplomas,housewife,Yes sir,Yes sir,Yes sir,Yes sir,Yes sir,Yes sir,Yes sir,No,It is no different from traditional,Yes,I do not consume at all,Yes,It is harmful to my health-----,1,Yes sir,Less than three days a week,Recommended to leave,I can not point out,No,NA,No,NA,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,sometimes,Only when you have a cold or infection,I completely disagree,No,NA,Yes,تایی,NA,1400/02/21-17:59:33,1400/02/21-18:08:31,1400-02-21 17:59:33,1400-02-21 18:08:31,538,1400/02/21,17:59:33,1400/02/21,18:08:31
10,NQlZ,F,27,142,فارس,شيراز,Bachelors,I'm looking for a job,Yes sir,Yes sir,No,No,No,Yes sir,Yes sir,No,It is no different from traditional,Yes,I do not consume at all,No,NA,0,Yes sir,More than three days a week,Advice not to smoke in my presence,Advise not to be in my presence,No,NA,No,NA,I definitely do not accept,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,never,no never,I disagree,No,NA,I'm not a questioner,NA,NA,1400/02/21-10:21:33,1400/02/21-10:26:58,1400-02-21 10:21:33,1400-02-21 10:26:58,325,1400/02/21,10:21:33,1400/02/21,10:26:58
