"","farsi","some.V1","some.V2","some.V3"
"1","شناسه پاسخ‌دهنده","شناسه پاسخ‌دهنده","",""
"2","دراین قسمت اطلاعات کلی مانند سن و جنس و محل زندگی از شما پرسیده می‌شود.دراین قسمت اطلاعات کلی مانند سن و جنس و محل زندگی از شما پرسیده می‌شود. - جنسیت","دراین قسمت اطلاعات کلی مانند سن و جنس و محل زندگی از شما پرسیده می‌شود.دراین قسمت اطلاعات کلی مانند سن و جنس و محل زندگی از شما پرسیده می‌شود. "," جنسیت",""
"3","دراین قسمت اطلاعات کلی مانند سن و جنس و محل زندگی از شما پرسیده می‌شود. - سن","دراین قسمت اطلاعات کلی مانند سن و جنس و محل زندگی از شما پرسیده می‌شود. "," سن",""
"4","nas","nas","",""
"5","دراین قسمت اطلاعات کلی مانند سن و جنس و محل زندگی از شما پرسیده می‌شود. - استان محل اقامت","دراین قسمت اطلاعات کلی مانند سن و جنس و محل زندگی از شما پرسیده می‌شود. "," استان محل اقامت",""
"6","city","city","",""
"7","دراین قسمت اطلاعات کلی مانند سن و جنس و محل زندگی از شما پرسیده می‌شود. - تحصیلات","دراین قسمت اطلاعات کلی مانند سن و جنس و محل زندگی از شما پرسیده می‌شود. "," تحصیلات",""
"8","دراین قسمت اطلاعات کلی مانند سن و جنس و محل زندگی از شما پرسیده می‌شود. - شغل","دراین قسمت اطلاعات کلی مانند سن و جنس و محل زندگی از شما پرسیده می‌شود. "," شغل",""
"9","نظر شمانظر شما - موافق قانون منع مصرف قلیان یا سیگار در مکان‌های عمومی ""سرپوشیده"" (از جمله کافه‌ها، رستوران‌ها و ...) هستید؟","نظر شمانظر شما "," موافق قانون منع مصرف قلیان یا سیگار در مکان‌های عمومی ""سرپوشیده"" (از جمله کافه‌ها، رستوران‌ها و ...) هستید؟",""
"10","نظر شما - موافق قانون منع مصرف قلیان یا سیگار در مکان‌های عمومی ""سرباز"" (از جمله پارک‌ها، سفره‌ خانه‌ها و ..) هستید؟","نظر شما "," موافق قانون منع مصرف قلیان یا سیگار در مکان‌های عمومی ""سرباز"" (از جمله پارک‌ها، سفره‌ خانه‌ها و ..) هستید؟",""
