,a,b.V1,b.V2,b.V3
1,g-id,g,id,
2,g-gender,g,gender,
3,g-age,g,age,
4,g-nas,g,nas,
5,g-province,g,province,
6,g-city,g,city,
7,g-education,g,education,
8,g-occupation,g,occupation,
9,نظر شمانظر شما - موافق قانون منع مصرف قلیان یا سیگار در مکان‌های عمومی "سرپوشیده" (از جمله کافه‌ها، رستوران‌ها و ...) هستید؟,o,indoor,
10,نظر شما - موافق قانون منع مصرف قلیان یا سیگار در مکان‌های عمومی "سرباز" (از جمله پارک‌ها، سفره‌ خانه‌ها و ..) هستید؟,o,outdoor,
11,نظر شما - طی یک ماه گذشته، آیا پیام تبلیغاتی ضد مصرف دخانیات در رسانه‌های عمومی (از جمله تلویزیون، رادیو، شبکه‌های اجتماعی) دیده یا شنیده ‌اید؟,o,media,
12,نظر شما - طی یک ماه گذشته، آیا پیام ضد مصرف دخانیات در وقایع ورزشی، دیده‌اید یا شنیده ‌اید؟,o,sports,
13,نظر شما - آیا تاکنون فردی که در مراکز تهیه و توزیع دخانیات فعالیت می‌کند به شما قلیان یا سیگار رایگان تعارف کرده است؟,o,free.offer,
14,نظر شما - آیا شما فکر می‌کنید اگر فردی استفاده از قلیان یا سیگار را شروع کند، ترک برای او سخت می‌شود؟,o,difficult.quit,
15,نظر شما - به نظر شما مصرف قلیان یا سیگار ضرر دارد؟,o,harm.general,
16,نظر شما - به نظر شما عبور دود قلیان از آب، آن را بی ضرر می کند؟,o,harm.water,
17,نظر شما - به نظر شما انواع میوه ای قلیان ضرر کمتری دارد؟,o,har.fruit.taste,
18,نظر شما - در محل کار برای مصرف دخانیات محدودیت دارید؟,o,work.restriction,
19,نظر شما - در حال حاضر کدام مورد را مصرف می کنید؟,o,now.use,
20,افراد غیر وابسته به دودافراد غیر وابسته به دود - آیا قبلا سابقه مصرف قلیان یا سیگار داشته اید؟,n,previous.use,
21,چرا در حال حاضر قلیان یا سیگار مصرف نمی کنید؟افراد غیر وابسته به دود - چرا در حال حاضر قلیان یا سیگار مصرف نمی کنید؟ - برای سلامتی خودم مضر است,n,why.notuse,harm.self
22,افراد غیر وابسته به دود - چرا در حال حاضر قلیان یا سیگار مصرف نمی کنید؟ - برای سلامتی دیگران مضر است,n,why.notuse,harm.others
23,افراد غیر وابسته به دود - چرا در حال حاضر قلیان یا سیگار مصرف نمی کنید؟ - قبح اجتماعی (زشته),n,why.notuse,public.taboo
24,افراد غیر وابسته به دود - چرا در حال حاضر قلیان یا سیگار مصرف نمی کنید؟ - علاقه ندارم,n,why.notuse,not.interested
25,افراد غیر وابسته به دود - چرا در حال حاضر قلیان یا سیگار مصرف نمی کنید؟ - دسترسی ندارم,n,why.notuse,access.restricted
